model,item_id,quadrant,condition_1,condition_2,correct_1,n_1,correct_2,n_2,contrast_type,p_raw,p_holm,sig_raw,sig_holm
Gemini,151,Confusing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Gemini,151,Confusing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Gemini,158,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Gemini,158,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Gemini,158,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Gemini,479,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Gemini,479,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Gemini,479,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Gemini,1001,Confusing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Gemini,1001,Confusing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Gemini,1001,Confusing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Gemini,1096,Confusing,no_xai,concise,0,20,0,20,presence,1.0,1.0,False,False
Gemini,1096,Confusing,no_xai,structured,0,20,0,20,presence,1.0,1.0,False,False
Gemini,1096,Confusing,concise,structured,0,20,0,20,format,1.0,1.0,False,False
Gemini,1449,Revealing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Gemini,1449,Revealing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Gemini,1449,Revealing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Gemini,1453,Confusing,no_xai,concise,14,20,16,20,presence,0.7164265551362327,1.0,False,False
Gemini,1453,Confusing,no_xai,structured,14,20,14,20,presence,1.0,1.0,False,False
Gemini,1453,Confusing,concise,structured,16,20,14,20,format,0.7164265551362327,1.0,False,False
Gemini,1460,Misleading,no_xai,concise,18,20,18,20,presence,1.0,1.0,False,False
Gemini,1460,Misleading,no_xai,structured,18,20,20,20,presence,0.48717948717948717,1.0,False,False
Gemini,1460,Misleading,concise,structured,18,20,20,20,format,0.48717948717948717,1.0,False,False
Gemini,2293,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Gemini,2293,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Gemini,2293,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Gemini,2294,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Gemini,2294,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Gemini,2294,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Gemini,3474,Revealing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Gemini,3474,Revealing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Gemini,3474,Revealing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Gemini,3475,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Gemini,3475,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Gemini,3475,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Gemini,3590,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Gemini,3590,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Gemini,3590,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Gemini,4533,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Gemini,4533,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Gemini,4533,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Gemini,6052,Revealing,no_xai,concise,20,20,10,20,presence,0.00043591979075850045,0.06800348735832606,True,False
Gemini,6052,Revealing,no_xai,structured,20,20,7,20,presence,1.2884328790891637e-05,0.0020357239489608788,True,True
Gemini,6052,Revealing,concise,structured,10,20,7,20,format,0.5231070892917389,1.0,False,False
Gemini,6142,Misleading,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Gemini,6142,Misleading,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Gemini,6142,Misleading,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Gemini,7696,Misleading,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Gemini,7696,Misleading,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Gemini,7696,Misleading,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Gemini,8458,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Gemini,8458,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Gemini,8458,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
