"model","item_id","quadrant","defect_type","C_AI","C_X","condition","n_personas","n_correct","p_correct","majority","unanimous"
"gemini",1453,"Confusing","Completeness","correct","incorrect","no_xai",20,14,0.7,1,FALSE
"gemini",1453,"Confusing","Completeness","correct","incorrect","concise",20,16,0.8,1,FALSE
"gemini",1453,"Confusing","Completeness","correct","incorrect","structured",20,14,0.7,1,FALSE
"gemini",158,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"gemini",158,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"gemini",158,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"gemini",479,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"gemini",479,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"gemini",479,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"gemini",2293,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"gemini",2293,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"gemini",2293,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"gemini",2294,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"gemini",2294,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"gemini",2294,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"gemini",3475,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"gemini",3475,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"gemini",3475,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"gemini",3590,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"gemini",3590,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"gemini",3590,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"gemini",4533,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"gemini",4533,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"gemini",4533,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"gemini",8458,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"gemini",8458,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"gemini",8458,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"gemini",1460,"Misleading","none","incorrect","correct","no_xai",20,18,0.9,1,FALSE
"gemini",1460,"Misleading","none","incorrect","correct","concise",20,18,0.9,1,FALSE
"gemini",1460,"Misleading","none","incorrect","correct","structured",20,20,1,1,TRUE
"gemini",6142,"Misleading","none","incorrect","correct","no_xai",20,20,1,1,TRUE
"gemini",6142,"Misleading","none","incorrect","correct","concise",20,20,1,1,TRUE
"gemini",6142,"Misleading","none","incorrect","correct","structured",20,20,1,1,TRUE
"gemini",7696,"Misleading","none","incorrect","correct","no_xai",20,20,1,1,TRUE
"gemini",7696,"Misleading","none","incorrect","correct","concise",20,20,1,1,TRUE
"gemini",7696,"Misleading","none","incorrect","correct","structured",20,20,1,1,TRUE
"gemini",1449,"Revealing","Completeness","incorrect","incorrect","no_xai",20,20,1,1,TRUE
"gemini",1449,"Revealing","Completeness","incorrect","incorrect","concise",20,20,1,1,TRUE
"gemini",1449,"Revealing","Completeness","incorrect","incorrect","structured",20,20,1,1,TRUE
"gemini",3474,"Revealing","Validity","incorrect","incorrect","no_xai",20,20,1,1,TRUE
"gemini",3474,"Revealing","Validity","incorrect","incorrect","concise",20,20,1,1,TRUE
"gemini",3474,"Revealing","Validity","incorrect","incorrect","structured",20,20,1,1,TRUE
"gemini",6052,"Revealing","Grounding","incorrect","incorrect","no_xai",20,20,1,1,TRUE
"gemini",6052,"Revealing","Grounding","incorrect","incorrect","concise",20,10,0.5,1,FALSE
"gemini",6052,"Revealing","Grounding","incorrect","incorrect","structured",20,7,0.35,0,FALSE
"gpt",151,"Confusing","Grounding","correct","incorrect","no_xai",20,20,1,1,TRUE
"gpt",151,"Confusing","Grounding","correct","incorrect","concise",20,20,1,1,TRUE
"gpt",151,"Confusing","Grounding","correct","incorrect","structured",20,20,1,1,TRUE
"gpt",1001,"Confusing","Validity","correct","incorrect","no_xai",20,20,1,1,TRUE
"gpt",1001,"Confusing","Validity","correct","incorrect","concise",20,20,1,1,TRUE
"gpt",1001,"Confusing","Validity","correct","incorrect","structured",20,20,1,1,TRUE
"gpt",1096,"Confusing","Grounding","correct","incorrect","no_xai",20,0,0,0,TRUE
"gpt",1096,"Confusing","Grounding","correct","incorrect","concise",20,0,0,0,TRUE
"gpt",1096,"Confusing","Grounding","correct","incorrect","structured",20,0,0,0,TRUE
"gpt",1453,"Confusing","Completeness","correct","incorrect","no_xai",20,20,1,1,TRUE
"gpt",1453,"Confusing","Completeness","correct","incorrect","concise",20,20,1,1,TRUE
"gpt",1453,"Confusing","Completeness","correct","incorrect","structured",20,20,1,1,TRUE
"gpt",158,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"gpt",158,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"gpt",158,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"gpt",479,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"gpt",479,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"gpt",479,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"gpt",2293,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"gpt",2293,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"gpt",2293,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"gpt",2294,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"gpt",2294,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"gpt",2294,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"gpt",3475,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"gpt",3475,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"gpt",3475,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"gpt",3590,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"gpt",3590,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"gpt",3590,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"gpt",4533,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"gpt",4533,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"gpt",4533,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"gpt",8458,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"gpt",8458,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"gpt",8458,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"gpt",1460,"Misleading","none","incorrect","correct","no_xai",20,0,0,0,TRUE
"gpt",1460,"Misleading","none","incorrect","correct","concise",20,0,0,0,TRUE
"gpt",1460,"Misleading","none","incorrect","correct","structured",20,0,0,0,TRUE
"gpt",6142,"Misleading","none","incorrect","correct","no_xai",20,0,0,0,TRUE
"gpt",6142,"Misleading","none","incorrect","correct","concise",20,0,0,0,TRUE
"gpt",6142,"Misleading","none","incorrect","correct","structured",20,0,0,0,TRUE
"gpt",7696,"Misleading","none","incorrect","correct","no_xai",20,20,1,1,TRUE
"gpt",7696,"Misleading","none","incorrect","correct","concise",20,20,1,1,TRUE
"gpt",7696,"Misleading","none","incorrect","correct","structured",20,20,1,1,TRUE
"gpt",1449,"Revealing","Completeness","incorrect","incorrect","no_xai",20,20,1,1,TRUE
"gpt",1449,"Revealing","Completeness","incorrect","incorrect","concise",20,20,1,1,TRUE
"gpt",1449,"Revealing","Completeness","incorrect","incorrect","structured",20,20,1,1,TRUE
"gpt",3474,"Revealing","Validity","incorrect","incorrect","no_xai",20,20,1,1,TRUE
"gpt",3474,"Revealing","Validity","incorrect","incorrect","concise",20,2,0.1,0,FALSE
"gpt",3474,"Revealing","Validity","incorrect","incorrect","structured",20,3,0.15,0,FALSE
"gpt",6052,"Revealing","Grounding","incorrect","incorrect","no_xai",20,20,1,1,TRUE
"gpt",6052,"Revealing","Grounding","incorrect","incorrect","concise",20,0,0,0,TRUE
"gpt",6052,"Revealing","Grounding","incorrect","incorrect","structured",20,0,0,0,TRUE
